Student_ID,First_Name,Last_Name,Email,Age,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night,Gender_Female,Gender_Male,Department_Business,Department_CS,Department_Engineering,Department_Mathematics,Average_Score,Study_Efficiency,Stress_Sleep_Ratio
S1000,Omar,Williams,student0@university.com,22,97.36,40.61,59.61,73.69,53.17,73.4,62.84,59.8865,0,10.3,1,0,2,1,1,5.9,True,False,False,False,False,True,60.55333333333334,5.814223300970873,0.1694915254237288
S1001,Maria,Brown,student1@university.com,18,97.71,57.27,74.0,74.23,98.23,88.0,98.23,81.917,3,27.1,0,0,0,0,4,4.3,False,True,True,False,False,False,81.66000000000001,3.022767527675277,0.9302325581395348
S1002,Ahmed,Jones,student2@university.com,24,99.52,41.84,63.85,85.85,50.0,4.699999999999999,91.22,67.717,1,12.4,1,0,0,0,9,6.1,False,True,False,False,True,False,56.24333333333333,5.461048387096774,1.475409836065574
S1004,John,Smith,student4@university.com,23,59.41,53.13,61.77,67.66,83.98,64.3,87.43,71.403,2,13.3,1,0,2,1,6,4.5,True,False,False,True,False,False,69.71166666666667,5.368646616541353,1.3333333333333333
S1005,Liam,Brown,student5@university.com,21,60.6,70.21,64.48,87.85,52.26,54.8,67.65,68.09,1,25.3,1,0,1,1,6,5.6,False,True,False,False,False,True,66.20833333333333,2.691304347826087,1.0714285714285714
S1006,Ahmed,Jones,student6@university.com,24,67.01,90.85,93.74,89.0,54.17,15.5,87.51,82.8575,3,22.1,1,0,1,2,2,4.0,False,True,True,False,False,False,71.795,3.74920814479638,0.5
S1007,Ahmed,Smith,student7@university.com,19,65.91,91.72,59.47,50.72,53.83,54.8,90.04,71.36850000000001,2,16.7,1,1,1,0,5,7.8,False,True,False,False,True,False,66.76333333333334,4.273562874251498,0.6410256410256411
S1008,Omar,Smith,student8@university.com,21,97.83,76.97,62.75,57.19,79.08,97.4,57.57,65.8605,1,18.1,0,1,3,2,9,4.8,True,False,False,True,False,False,71.82666666666667,3.6387016574585633,1.875
S1009,Sara,Smith,student9@university.com,22,89.45,95.69,86.97,60.65,94.8,63.1,83.09,82.75550000000001,3,9.4,1,0,1,2,8,7.1,True,False,True,False,False,False,80.71666666666668,8.803776595744681,1.1267605633802815
S1010,John,Smith,student10@university.com,23,86.2,70.0,85.54,67.58,77.77,44.900000000000006,93.14,79.98599999999999,2,7.9,1,1,0,0,4,8.2,True,False,True,False,False,False,73.15499999999999,10.124810126582275,0.4878048780487805
S1011,Omar,Williams,student11@university.com,20,59.3,93.34,87.9,64.57,80.18,82.8,66.17,77.6705,2,22.9,1,0,1,0,7,8.6,True,False,False,False,False,True,79.16000000000001,3.391724890829695,0.813953488372093
S1012,John,Davis,student12@university.com,21,95.48,67.24,97.23,83.43,67.3,21.3,54.02,70.909,2,26.2,0,0,1,1,9,6.8,False,True,False,False,True,False,65.08666666666666,2.7064503816793897,1.3235294117647058
S1013,John,Williams,student13@university.com,18,91.39,56.63,87.73,91.41,50.94,41.4,51.36,66.7105,1,23.0,0,0,3,1,5,7.9,False,True,True,False,False,False,63.245000000000005,2.9004565217391303,0.6329113924050632
S1014,Liam,Williams,student14@university.com,19,58.18,94.98,64.46,59.6,51.08,52.8,55.5,63.7,1,27.8,0,1,1,2,2,6.3,False,True,False,True,False,False,63.07,2.29136690647482,0.3174603174603174
S1015,Ahmed,Jones,student15@university.com,18,93.56,63.28,89.29,78.15,94.42,50.5,50.21,70.56700000000001,2,27.3,1,0,1,0,2,6.5,False,True,False,True,False,False,70.975,2.584871794871795,0.3076923076923077
S1016,Maria,Jones,student16@university.com,21,63.61,70.2,70.52,68.39,55.13,92.1,66.35,68.44149999999999,1,24.5,0,1,0,2,8,6.7,True,False,True,False,False,False,70.44833333333334,2.793530612244897,1.1940298507462686
S1017,Liam,Davis,student17@university.com,23,54.04,59.73,56.66,75.29,99.99,29.3,64.97,65.373,1,27.5,0,0,1,1,8,7.4,True,False,False,True,False,False,64.32333333333334,2.3772,1.081081081081081
S1018,Liam,Jones,student18@university.com,20,82.84,79.77,58.18,81.04,58.22,5.699999999999999,55.52,61.4295,1,9.2,1,1,0,2,8,7.3,False,True,True,False,False,False,56.405,6.677119565217391,1.095890410958904
S1019,John,Johnson,student19@university.com,20,82.69,99.7,53.43,94.68,83.73,91.6,82.56,80.2355,3,23.3,0,1,2,0,5,7.9,False,True,False,True,False,False,84.28333333333333,3.443583690987124,0.6329113924050632
S1020,Emma,Davis,student20@university.com,18,54.75,41.53,48.7,59.61,97.45,21.7,99.6,68.05599999999998,1,23.8,0,0,3,2,2,7.1,False,True,True,False,False,False,61.43166666666667,2.859495798319327,0.2816901408450704
S1021,Ahmed,Jones,student21@university.com,22,65.94,93.99,51.07,54.35,68.11,37.9,95.05,72.2395,2,8.8,0,0,1,2,10,8.4,False,True,True,False,False,False,66.74499999999999,8.20903409090909,1.1904761904761905
S1022,Sara,Davis,student22@university.com,22,99.64,40.24,43.79,81.36,86.72,53.1,62.64,59.3065,0,27.7,0,1,3,0,8,7.5,False,True,True,False,False,False,61.30833333333333,2.141028880866426,1.0666666666666669
